"Año","Código actividad económica","Nombre actividad económica","Código sector económico","Nombre sector económico","Código subsector económico","Nombre subsector económico","Costos y gastos nómina","Aportes seguridad","Aportes a entidades","Efectivo y equivalentes","Inversiones e instrumentos","Cuentas y otros por cobrar","Inventarios","Propiedades","Otros activos","Total patrimonio bruto","Pasivos","Total patrimonio líquido","Ingresos ordinarios","Ingresos financieros","Otros ingresos","Total ingresos brutos","Devoluciones, rebajas","Ingresos no renta","Total ingresos netos","Costos","Gastos administración","Gastos distribución","Gastos financieros","Otros gastos","Total costos y gastos","Renta líquida ordinaria","Pérdida líquida","Compensaciones","Renta líquida","Renta presuntiva","Renta exenta","Rentas gravables","Renta líquida gravable","Ingresos ganancias ocasionales","Costos ganancias ocasionales","Ganancias ocasionales no gravadas","Ganancias ocasionales gravables","Impuesto RLG","Descuentos tributarios","Impuesto neto de renta","Impuesto ganancias ocasionales","Total Impuesto a cargo","Anticipo renta año anterior","Saldo a favor año anterior","Autorretenciones","Otras retenciones","Total retenciones","Anticipo renta siguiente año","Saldo a pagar por impuesto","Sanciones","Total saldo a pagar","Total saldo a favor"
"2019","7120","ENSAYOS Y ANÁLISIS TÉCNICOS","9","ACTIVIDADES PROFESIONALES, CIENTÍFICAS, TÉCNICAS Y DE SERVICIOS ADMINISTRATIVOS Y DE APOYO","13","ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS","272411","34575","9020","128996","180435","339457","20359","475294","87465","1255074","546170","720526","1057739","10568","23131","1092213","13969","994","1077250","286999","386859","183852","29780","4761","892251","194686","9354","1931","192755","9255","326","0","192885","5750","3993","0","1800","62876","2619","60273","183","60456","16300","9304","9534","39905","49439","15597","26794","89","26821","25715"
"2017","8720","ACTIVIDADES DE ATENCIÓN RESIDENCIAL, PARA EL CUIDADO DE PACIENTES CON RETARDO MENTAL, ENFERMEDAD MENTAL Y CONSUMO DE SUSTANCIAS PSICOACTIVAS","10","ACTIVIDADES DE LA ADMINISTRACIÓN PÚBLICA Y DEFENSA, DE ENSEÑANZA, ACTIVIDADES DE ATENCIÓN DE LA SALUD Y DE ASISTENCIA SOCIAL","17","ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL","29564","5199","1950","13696","2818","15555","103","15731","267","48436","14141","34328","85623","534","2156","88422","702","109","87611","37716","42503","597","714","565","82095","5190","259","67","5123","155","1738","0","3386","85","75","0","10","864","11","853","1","945","7","2","100","244","344","124","744","1","745","9"
"2020","3030","FABRICACIÓN DE AERONAVES, NAVES ESPACIALES Y DE MAQUINARIA CONEXA","3","MANUFACTURA","3","INDUSTRIAS MANUFACTURERAS","11654","1408","463","27106","2618","38037","7202","18559","9207","103714","63754","44338","49386","526","949","50861","147","0","50714","25880","16902","426","1329","15","44552","8000","1838","266","7733","187","0","0","7775","560","0","0","560","2165","216","1950","56","2006","656","2160","250","2015","2264","39","554","1","555","3589"
"2019","8411","ACTIVIDADES LEGISLATIVAS DE LA ADMINISTRACIÓN PÚBLICA","10","ACTIVIDADES DE LA ADMINISTRACIÓN PÚBLICA Y DEFENSA, DE ENSEÑANZA, ACTIVIDADES DE ATENCIÓN DE LA SALUD Y DE ASISTENCIA SOCIAL","15","ADMINISTRACIÓN PÚBLICA Y DEFENSA","309","48","20","121","0","49","1","14","54","247","104","143","218","0","62","281","0","0","281","53","1152","0","3","0","1208","1","872","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"2014","4520","Mantenimiento y reparación de vehículos automotores","6","Comercio al por mayor y al por menor, transporte  y almacenamiento, actividades de alojamiento y de servicio de comidas","7","Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas","184079","22045","5576","115767","17587","340046","126183","257590","37312","894485","465982","438422","1240883","2915","41492","1285289","63113","9290","1212886","710719","245722","109331","360","25050","380463","117357","10168","4891","112466","10099","623","3","112870","4333","3300","0","1044","27523","4","26493","104","26597","2502","6513","4804","23523","28326","4125","4328","111","4369","10877"
"2012","2811","Fabricación de motores, turbinas, y partes para motores de combustión interna","3","Manufactura","3","Industrias manufactureras","1622","238","93","2240","1209","21594","1250","16674","2223","44989","26696","18237","14715","56","1601","16371","28","24","16320","13011","4098","148","8","276","4529","603","1895","0","603","235","18","0","733","0","0","0","0","230","0","230","0","230","15","23","0","1023","1023","20","52","4","56","862"
"2015","5310","ACTIVIDADES POSTALES NACIONALES","6","COMERCIO AL POR MAYOR Y AL POR MENOR, TRANSPORTE  Y ALMACENAMIENTO, ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS","8","TRANSPORTE Y ALMACENAMIENTO","149604","11649","3620","81774","4995","227192","822","64586","71619","450987","220698","232794","549507","1631","13203","564340","6854","467","557019","288031","201368","23209","3","1610","289641","45255","16097","2295","45255","5980","114","0","45349","1276","549","0","732","11316","1","11307","78","11385","2995","1447","3086","2072","5158","3537","6960","17","6976","1637"
"2017","1702","FABRICACIÓN DE PAPEL Y CARTÓN ONDULADO (CORRUGADO); FABRICACIÓN DE ENVASES, EMPAQUES Y DE EMBALAJES DE PAPEL Y CARTÓN.","3","MANUFACTURA","3","INDUSTRIAS MANUFACTURERAS","208895","24351","7618","68669","538273","704018","286160","446761","38408","2097666","1255019","848578","2612490","27491","78644","2720244","23908","2361","2693975","1994814","179933","251612","63004","59330","2548694","149164","3772","9387","139777","28905","0","0","141356","1189","1150","0","39","46657","1426","45239","7","51415","1576","2284","25353","19282","44636","4953","21775","15","21777","17281"
"2016","4719","COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS, CON SURTIDO COMPUESTO PRINCIPALMENTE POR PRODUCTOS DIFERENTES DE ALIMENTOS (VÍVERES EN GENERAL), BEBIDAS Y TABAC","6","COMERCIO AL POR MAYOR Y AL POR MENOR, TRANSPORTE  Y ALMACENAMIENTO, ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS","7","COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS","590112","60760","19093","435893","673653","1412023","1640710","1021683","357889","5541852","3076674","2477641","9180802","98428","405084","9684315","286226","13855","9384233","6948136","464354","1397180","27242","230970","9067882","421083","104731","45821","375261","51005","567","2","389061","189999","192219","843","183","96956","936","96020","18","96039","8495","36391","29772","66703","96475","8664","43715","18","43722","60715"
"2013","9411","Actividades de asociaciones empresariales y de empleadores","11","Otras actividades de servicios","19","Otras actividades de servicios","440675","66428","27192","796484","187117","1008572","16102","514983","238803","2762061","1001180","1766348","2003069","54299","242054","2299422","7463","1139789","1152170","192982","707872","34966","152","65829","808819","55434","6650","76","55358","126","31391","12","20771","0","0","0","0","5005","0","5005","0","5005","74","248","0","3858","3858","65","1190","17","1206","300"
