"ConstituentID","DisplayName","ArtistBio","Nationality","Gender","BeginDate","EndDate","Wiki QID","ULAN"
"10370","Edison Price, New York, NY","","","","0","0","",""
"10559","Dansk Forsolvnings Anstalt, Copenhagen","","","","0","0","",""
"11070","Mylec, Inc., Winchedon Springs, MA","","","","0","0","",""
"27189","Crown Beverage Packaging","USA","American","","0","0","",""
"2015","Francis Frith","British, 1822–1898","British","Male","1822","1898","Q978878","500005649.0"
"10347","WRS Sportsmed, Texas","","","","0","0","",""
"26625","Federico Fellini","Italian, 1920–1993","Italian","Male","1920","1993","Q7371","500081169.0"
"10956","Unknown French Manufacturer","","French","","0","0","",""
"10279","Fuso Gum Industry Co., Ltd., Japan","","","","0","0","",""
"4327","Emil Nolde","German, 1867–1956","German","Male","1867","1956","Q152788","500003109.0"
"75339","Jakob Senneby","","","Male","0","0","",""
"10235","Richard Süssmuth Glashütte, Immenhausen, Germany","","","","0","0","",""
"10704","Rosenthal Einrichtung, Munich","","","","0","0","",""
"4073","Max Oppenheimer (MOPP)","American, born Austria. 1885–1954","American","Male","1885","1954","Q216480","500020342.0"
"10915","Lakota Corporation","","","","0","0","",""
"10487","Smith Metal Arts, Buffalo, NY","","","","0","0","",""
"278","Libero Badii","Argentine, 1916–2001","Argentine","Male","1916","2001","",""
"4520","Benjamin Patterson","American, 1934–2016","American","Male","1934","2016","Q817643","500202321.0"
"9903","Konrad König, Munich","","","Male","0","0","",""
"2000","Johnny Friedlaender","German, 1912–1992","German","Male","1912","1992","",""
"10776","Oluce, Milan, Italy","","","","0","0","",""
"9552","Nessen Studio, Inc. (now Nessen Lamps, Inc.), New York","","","","0","0","",""
"2918","Carl H. Johansen III","American","American","","0","0","",""
"10331","H.P. Designs, The Netherlands","","","","0","0","",""
"32750","Chip Lord","American, born 1944","American","Male","1944","0","Q5101523","500014939.0"
"5070","Reuven Rubin","Israeli, born Romania. 1893–1974","Israeli","Male","1893","1974","Q1530754","500017498.0"
"28265","Java Jacket, Inc.","USA","American","","0","0","",""
"10170","Keramik Manufaktur Kupfermuehle, Germany","","","","0","0","",""
"48794","Heal Fabrics, London, U.K.","est. 1810","British","","1810","0","",""
"4415","Dennis Oppenheim","American, 1938–2011","American","Male","1938","2011","Q439856","500011050.0"
"5526","Keith Sonnier","American, 1941-2020","American","Male","1941","2020","Q327520","500004781.0"
"8132","Jorge Pardo","American, born 1963","American","Male","1963","0","Q1443521","500114912.0"
"10790","Ldesign SARL","France","French","","0","0","",""
"10724","Metall-Arbeit Wiener Werkstätte, Vienna, Austria","","","","0","0","",""
"10633","Berliner Metallgewerbe Joseph Müller, Germany","","","","0","0","",""
"25826","Pyghtle Works, Bedford, England","","","","0","0","",""
"10622","Unknown Mexican Manufacturer","","Mexican","","0","0","",""
"30188","Zuzana Licko","Slovak, born 1961","Slovak","Female","1961","0","Q231210","500278343.0"
"9691","Nakayamafuku Company, Ltd., Osaka","","","","0","0","",""
"44807","MSGSSV (Manteola Sánchez Gómez Santos Solsona Viñoly)","Argentina, est. 1966","Argentine","","0","0","",""
"1863","Roger C. Ferri","American, 1949–1991","American","Male","1949","1991","",""
"9034","Mepalservice b.v. Lochem (gld), The Netherlands","","","","0","0","",""
"9104","Zanotta S.p.A., Italy","","","","0","0","",""
"37601","Bo Welch","","","","0","0","Q484864",""
"10481","San Castings Corp., Brewster, NY","","","","0","0","",""
"6618","Robert Andrew Parker","American, born 1927","American","Male","1927","0","","500095281.0"
"4250","NEC Design, Ltd.","Japan, est. 1971","Japanese","","1971","0","",""
"1690","William Eggleston","American, born 1939","American","Male","1939","0","Q389912","500030719.0"
"10873","Victoria-Werke, Baar, Switzerland","","","","0","0","",""
"38251","RCM di Bianco","","","","0","0","",""
"42744","Laura Diaz Milán","","","","0","0","",""
"27763","Vessel, Inc.","USA, est. 2001","American","","2001","0","",""
"1686","Edouard-Léon-Louis Edy-Legrand","French, 1892–1970","French","Male","1892","1970","",""
"2756","Ian (Hugh Guiler) Hugo","American, 1898–1985","American","Male","1898","1985","Q12317395",""
"29630","Yamagiwa Corporation, Japan","founded 1994","","","1994","0","",""
"10569","Richard Perry, Son & Company, Wolverhampton, England","","","","0","0","",""
"30189","Emigre Inc.","American, founded 1987","American","","1987","0","",""
"27854","Pallucco Italia S.p.A.","Italian, est. 1980","Italian","","1980","0","",""
"32272","Faith Hubley","American, 1924–2001","American","Female","1924","2001","",""
"46635","Giorgio Olivero","Italian, born 1975","Italian","Male","1975","0","",""
"3235","Joyce Kozloff","American, born 1942","American","Female","1942","0","Q6297552","500005798.0"
"10726","OXO International, New York, NY","","","","0","0","",""
"10913","G. Schanzenbach, Germany","","","","0","0","",""
"10468","H. C. Craythorne","","","","0","0","",""
"10345","The General Fireproofing Co., Youngstown, OH","","","","0","0","",""
"10379","Grohmann Knives, Ltd., Pictou, Canada","","","","0","0","",""
"9441","Ritz-Italora, Milan, Italy","","","","0","0","",""
"10728","Argentor, Vienna","","","","0","0","",""
"10134","Baker Furniture, Inc., Grand Rapids, MI","est. 1890","American","","1890","0","",""
"33113","Studio Libertiny","The Netherlands, est. 2006","","","2006","0","",""
"44911","Wolfgang Stoerchle","German, 1944–1976","German","Male","1944","1976","",""
"10196","Bob Evans Designs, Inc., USA","","","","0","0","",""
"9962","Körtig & Matthiesen, Leipzig, Germany","","","","0","0","",""
"6014","Unknown Designer","German","German","","0","0","",""
"33362","IDEA International Co., Ltd.","","","","0","0","",""
"6238","Gene Walther","Swiss","Swiss","Male","0","0","",""
"23350","AB Gustavsberg, Sweden","","Swedish","","0","0","",""
"5517","Rosalind Fox Solomon","American, born 1930","American","Female","1930","0","Q7367254","500037071.0"
"10238","Unknown Italian Manufacturer","","Italian","","0","0","",""
"22534","John Hull Cutlers Corporation, New York, NY","","","","0","0","",""
"10628","NY Form, Italy","","","","0","0","",""
"10450","Design Research, New York","","","","0","0","",""
"10421","Gittler Guitar Inc., New York, NY","","","","0","0","",""
"40459","Snøhetta","est. 1989","","","1989","0","",""
"10747","Paul Mayen Designs, New York, NY","","","","0","0","",""
"9177","Flexform, Italy","","","","0","0","",""
"37706","Elizaveta Ignatovich","Russian, 1903–1983","Russian","Female","1903","1983","",""
"9656","Gaudí's Workshop","","","","0","0","",""
"9686","Jaguar Ltd., Coventry, England","","","","0","0","",""
"9457","Dorothy Liebes Textiles Inc., New York, NY","","","","0","0","",""
"6046","Maurice Utrillo","French, 1883–1955","French","Male","1883","1955","Q108301","500008404.0"
"67283","Polit-Sheer-Form Office (PSFO)","","","","0","0","",""
"10588","Lehrwerkstatte fur Glasinstrumentmacher","","","","0","0","",""
"45998","Relative Wave","est. 2009","","","2009","0","",""
"41742","Masaomi Unagami","","","","0","0","",""
"11134","Paper Welder, Inc., Medina, NY","","","","0","0","",""
"5469","Max Slevogt","German, 1868–1932","German","Male","1868","1932","Q703356","500016330.0"
"27783","Vlieger & Vandam","The Netherlands, est. 2004","Dutch","","2004","0","",""
"11194","Tendo Mokko, Inc., Yamagata-Ken, Japan","","","","0","0","",""
"10275","Grand Bleu, Inc., Japan","","","","0","0","",""
"5409","Stephen Shore","American, born 1947","American","Male","1947","0","Q586141","500040819.0"
"10815","Fibre Metal Products Company, Concordville, PA","","","","0","0","",""
"66367","Herman Miller Clock Co.","","","","0","0","",""
"5777","Sophie Taeuber-Arp","Swiss, 1889–1943","Swiss","Female","1889","1943","Q254395","500020080.0"
"11199","Ampex Corporation, Elk Grove Village, IL","","","","0","0","",""
"46373","Transnatural, Amsterdam","est. 2009","","","2009","0","",""
"39036","Milton Bradley Co., Springfield, MA","","","","0","0","",""
"34210","Porzellan Fabrik Gebrüder Bauscher, Weiden, Germany","","","","0","0","",""
"7038","Michal Rovner","Israeli, born 1957","Israeli","Female","1957","0","Q1930439","500114667.0"
"11","Jean (Hans) Arp","French, born Germany (Alsace). 1886–1966","French","Male","1886","1966","Q153739","500031000.0"
"2552","Alex Hay","American, born 1930","American","Male","1930","0","Q19644275","500122496.0"
"31672","Michel Parmentier","French, 1938–2000","French","Male","1938","2000","",""
"28113","Maharam","","","","0","0","",""
"29538","Nautic & Art","Canada","Canadian","","0","0","",""
"7340","Klearflax Linen Looms, Duluth, MN","1909–1953","American","","1909","1953","",""
"4185","Elizabeth Murray","American, 1940–2007","American","Female","1940","2007","Q212426","500025911.0"
"39466","Jonathan Shapiro","","","","0","0","",""
"31311","get to attack","","","","0","0","",""
"10643","Sambonet S.p.A., Vercelli, Italy","","","","0","0","",""
"10360","Charles Horner Ltd., Halifax","","","","0","0","",""
"336","George Barnard","American, 1819–1902","American","Male","1819","1902","Q127916","500115186.0"
"27033","Moore Push-Pin Company, USA","","","","0","0","",""
"9033","Helit, Ulm, Germany","","","","0","0","",""
"42742","Misas","","","","0","0","",""
"22961","H.E. Lauffer Co., Inc., West Germany (now Germany)","German","German","","0","0","",""
"10301","H.H. de Boer and Son, Bergum, The Netherlands","","","","0","0","",""
"3373","Dorothea Lange","American, 1895–1965","American","Female","1895","1965","Q230673","500007674.0"
"42310","Bureau Spectacular","est. 2008","","","2008","0","",""
"9692","Miyashin Co., Ltd., Tokyo","","","","0","0","",""
"131253","Joanne Leonard","American, born 1940","American","Female","1940","0","",""
"9081","AB Gustavsberg Fabriker, Sweden","","Swedish","","0","0","",""
"10769","Fabbriche Elettrotecniche Riunite, S.p.A. (now Zerowatt, S.p.A.), Italy","","","","0","0","",""
"10385","Head Ski Co., Timonium, MD","","","","0","0","",""
"10957","Alcorn & Co., Boston, Massachusetts","","American","","0","0","",""
"48768","David Zahle","","","Male","0","0","",""
"10857","J.A. Henckels, Solingen, Germany","","","","0","0","",""
"3045","Mike Kelley","American, 1954–2012","American","Male","1954","2012","Q543294","500118776.0"
"44527","Accessible Icon Project","","American","","0","0","",""
"101","Album-miscellaneous","Various","","","0","0","",""
"10286","Mares Sport, Rapallo, Italy","","","","0","0","",""
"11021","Kenner Products Co.","","","","0","0","",""
"24378","Proletkult, Leningrad","","","","0","0","",""
"220","Arman","American, born France. 1928–2005","American","Male","1928","2005","Q367973","500003632.0"
"9647","NEC Corporation","Japan","Japanese","","0","0","",""
"96","Anni Albers","American, born Germany. 1899–1994","American","Female","1899","1994","Q86078","500012591.0"
"27345","Dainese S.p.A.","Italy, est. 1972","Italian","","1972","0","",""
"5021","James Rosenquist","American, 1933–2017","American","Male","1933","2017","Q448845","500021855.0"
"1965","Sam Francis","American, 1923–1994","American","Male","1923","1994","Q526470","500115537.0"
"28334","Philips Design","The Netherlands, est. 1925","Dutch","","1925","0","",""
"27662","Vitra GmbH","Germany","German","","0","0","",""
"11158","Ekco Housewares, Franklin Park, IL","","","","0","0","Q5323238",""
"7166","Ludwig Mies van der Rohe","American, born Germany. 1886–1969","American","Male","1886","1969","Q41508","500006293.0"
"4348","Jim Nutt","American, born 1938","American","Male","1938","0","Q6197218","500018267.0"
"9861","Jacob & Josef Kohn, Vienna","","","","0","0","",""
"35954","One Off Ltd.","","","","0","0","",""
"11049","Brian Davis & Co., Pty Ltd., Victoria, Australia","","","","0","0","",""
"10269","Sarvis, Finland","","","","0","0","",""
"27735","AutoSock AS","Norway","Norwegian","","0","0","",""
"34221","Rong Rong","Chinese, born 1968","Chinese","Male","1968","0","",""
"10296","MAP (Merchants of Australian Products Pty., Ltd.)","founded 1989","","","1989","0","",""
"22572","Sas/OO, France","","","","0","0","",""
"41155","Marie Rosalie (Mitzi) Friedmann-Otten","Austrian, 1884–1955","Austrian","Female","1884","1955","",""
"9118","Cini & Nils, Milan","","","","0","0","",""
"23615","Il'ia Rogovin","","","Female","0","0","",""
"37288","Auguste Mestral","French, 1812–1884","French","Male","1812","1884","",""
"33005","Crisform","Portugal","Portuguese","","0","0","",""
"9263","Two's Company, Mount Vernon, NY","","","","0","0","",""
"10638","Vistosi, Italy","","","","0","0","",""
"11095","Articoli Plastici Elettrici, Italy","","","","0","0","",""
"10734","Avard Inc., New York, NY","","","","0","0","",""
"10745","ICI Design Institute Inc., Osaka","","","","0","0","",""
"4109","Wright Morris","American, 1910–1998","American","Male","1910","1998","Q920901","500037016.0"
"9592","S. Yoshimura Co., Ltd., Fukui City, Japan","","","","0","0","",""
"10215","Figla Co., Ltd., Japan","","","","0","0","",""
"9650","Tiroler Glashütte, Claus Joseph Riedel K.G., Kufstein/Tirol, Austria","","","","0","0","",""
"8470","John Bock","German, born 1965","German","Male","1965","0","Q882990","500122912.0"
"194","Horst Antes","German, born 1936","German","Male","1936","0","Q446519","500010821.0"
"10090","Escofet y Ca, Barcelona","","","","0","0","",""
"27926","Adachi Shiki Kogyo Co., Ltd.","Japan, est. 1942","Japanese","","1942","0","",""
"9572","Kimura Senko Co., Ltd., Shinga, Japan","","","","0","0","",""
"9431","OWO (now XO), Brie-Comte-Robert, France","","","","0","0","",""
"33693","Irma Boom","Dutch, born 1960","Dutch","Female","1960","0","Q467499",""
"3699","Lucien Mainssieux","French, 1885–1958","French","Male","1885","1958","",""
"21398","George Maciunas","American, born Lithuania. 1931–1978","American","Male","1931","1978","Q455931","500075547.0"
"710","Louise Bourgeois","American, born France. 1911–2010","American","Female","1911","2010","Q159409","500057350.0"
"26153","Dyson Ltd., England","established 1993","","","1993","0","",""
"9661","Emor Radio Company, Ltd., England","","","","0","0","",""
"3227","Takehisa Kosugi","Japanese, 1938–2018","Japanese","Male","1938","2018","Q7677988","500122680.0"
"37694","Jean Tschumi","Swiss, 1904–1962","Swiss","Male","1904","1962","Q117124","500021463.0"
"23048","Rosendahl A/S, Lyngby, Denmark","","","","0","0","",""
"8586","Fred Hansen/Pacific and Atlantic Photos","Nationality unknown","Nationality unknown","Male","0","0","",""
"39223","Ushahidi","","","","0","0","",""
"67452","Liu Jianhua","Chinese, born 1962","Chinese","Male","1962","0","",""
"9418","Stendig, Inc., New York, NY","","","","0","0","",""
"10039","Raymar Industries, Inc., New York, NY","","","","0","0","",""
"3429","Gustave Le Gray","French, 1820–1884","French","Male","1820","1884","Q982549","500000537.0"
"2923","Jasper Johns","American, born 1930","American","Male","1930","0","Q155057","500022247.0"
"4530","Henry Pearson","American,1914–2006","American","Male","1914","2006","Q5719056","500074491.0"
"1480","Sonia Delaunay-Terk","French, born Ukraine. 1885–1979","French","Female","1885","1979","Q232972","500115510.0"
"3591","Richard Long","British, born 1945","British","Male","1945","0","Q368645","500013903.0"
