ObjectID,Title,ConstituentID,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,URL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
147116,7,[6288],1972,"33 1/3"" LP","36:10 min.
12 3/16 x 12 3/16"" (31 x 31 cm)
","Partial gift of the Daled Collection and partial purchase through the generosity of Maja Oeri and Hans Bodenmann, Sue and Edgar Wachenheim III, Agnes Gund, Marlene Hess and James D. Zirin, Marie-Josée and Henry R. Kravis, and Jerry I. Speyer and Katherine G. Farley",749.2011.a-b,Audio,Media and Performance,2011-05-19,Y,http://www.moma.org/collection/works/147116,,0,,31,,,31,,
78101,9,"[3559, 3048, 3213, 1965, 4530, 3542, 4278, 6105, 5627, 4126]",1966,Portfolio of nine lithographs (one with embossing),"composition (see child records): dimensions vary; sheet (each approx.): 17 1/8 x 22 1/16"" (43.5 x 56.0 cm)",John B. Turner Fund,2324.1967.1-9,Print,Drawings & Prints,1967-10-18,Y,http://www.moma.org/collection/works/78101,,,,43.5,,,56,,
163844,34408,[31672],1994,"Oil on paper, four parts","Each 119 3/4 x 30 3/8"" (304 x 77 cm), overall 119 3/4 x 121 1/4"" (304 x 308 cm)",Gift of Herman J. Daled,1185.2012.a-d,Painting,Painting & Sculpture,2012-09-28,Y,http://www.moma.org/collection/works/163844,,0,,304,,,77,,
58599,"""Just Before the Waves Closed Over the Vestris""",[8586],1928,Gelatin silver print,"9 1/4 × 7 3/16"" (23.5 × 18.2 cm)",The New York Times Collection,2006.2001,Photograph,Photography,2001-06-14,Y,http://www.moma.org/collection/works/58599,,,,23.5,,,18.2,,
8476,"""Les Grand Peintres d'aujourd'hui,"" Picasso",[5947],1931,Letterpress,"11 11/16 x 8 1/4"" (29.7 x 21 cm)","Jan Tschichold Collection, Gift of Philip Johnson",1002.1999,Design,Architecture & Design,1999-12-10,Y,http://www.moma.org/collection/works/8476,,,,29.7,,,21,,
85540,"""Les Noces"" (The Wedding)",[5537],1929,Gouache on cardboard,"7 3/4 x 5 5/8"" (19.7 x 14.3 cm)",Gift of Mrs. Sally Kamin,416.1941.8,Drawing,Drawings & Prints,1941-03-24,Y,http://www.moma.org/collection/works/85540,,,,19.685,,,14.2875,,
58581,"""Sarajevo""",[8532],1895,"Gelatin silver print, printed 1996","10 1/2 × 15 15/16"" (26.7 × 40.5 cm)",The New York Times Collection,1988.2001,Photograph,Photography,2001-06-14,Y,http://www.moma.org/collection/works/58581,,,,26.7,,,40.5,,
29840,"""Tell of Wanderings"" (chapter title, page 109) from Corps perdu",[4609],1949,"Aquatint from an illustrated book with twenty engravings, ten aquatints (one with drypoint), one drypoint, and one etching (including wrapper front)","composition (irreg.): 12 13/16 x 9 1/2"" (32.5 x 24.2 cm); sheet: 15 3/8 x 11 1/8"" (39 x 28.2 cm)",The Louis E. Stern Collection,995.1964.30,Illustrated Book,Drawings & Prints,1964-10-06,Y,http://www.moma.org/collection/works/29840,,,,32.5,,,24.2,,
54909,(Gang),[3244],1960,Gelatin silver print,"4 3/4 × 7"" (12.1 × 17.8 cm)",Purchase,542.1963,Photograph,Photography,1963-10-08,N,,,,,12.065,,,17.78,,
83152,(Shack and stone-chimney),[5749],1930,Gelatin silver print,"7 15/16 × 5 7/8"" (20.2 × 14.9 cm)",Gift of the photographer,287.1941,Photograph,Photography,1941-01-16,N,,,,,20.2,,,14.9,,
78233,(Untitled),[5809],1965,"Lithograph, printed in black and color","Sheet 19 7/8 x 25 13/16"" (50.6 x 65.5  cm)Comp. 18 3/4 x 25 1/8"" (47.7 x 63.3 cm)",Celeste and Armand Bartos Foundation Fund,2491.1967,Print,Drawings & Prints,1967-12-13,N,,,,,47.7,,,63.3,,
36708,".a: Untitled (page from Breton-Tanguy Notebook), .b: Untitled (page from Breton-Tanguy Notebook)","[768, 5804]",1941,".a: Ink, pencil, and colored pencil on paper
.b: Ink and pencil on paper","10 7/8 x 8 5/8"" (27.8 x 22.1 cm)",Gift of Kay Sage Tanguy,346.1955.11a-b,Drawing,Drawings & Prints,1955-11-23,Y,http://www.moma.org/collection/works/36708,,,,27.6,,,21.9,,
82491,"1 Chase Manhattan Bank Plaza, New York, New York","[8170, 5518]",1956,Aluminum and Plexiglass,,"Gift of the Chase Manhattan Bank, N.A.",MC 57,Architecture,Architecture & Design,1969-12-01,N,,,,,,,,,,
288831,100 Boots,[8183],1971,"Felt-tip pen, ballpoint pen, pencil, and stamped ink on lined paper (recto and verso)","9 1/4 × 7 3/8"" (23.5 × 18.7 cm)","Gift of the Gilbert B. and Lila Silverman Instruction Drawing Collection, Detroit",1366.2018.a-b,Drawing,Drawings & Prints,2018-11-05,Y,http://www.moma.org/collection/works/288831,,,,23.49504699,,,18.73253747,,
5614,100 Days Round Trip to Dutch Indies,[6238],1900,Poster,,Gift of the artist,189.1944,Design,Architecture & Design,1944-12-20,N,,,,,,,,,,
216071,100 Years,[8045],2001,Gelatin silver print,"12 × 9 1/2"" (30.5 × 24.1 cm)","The Photography Council Fund, and Vital Projects Fund, Robert B. Menschel",902.2016.66,Photograph,Photography,2016-10-13,Y,http://www.moma.org/collection/works/216071,,,,30.5,,,24.1,,
95790,"11:36, 11/8/03 (The Traditional Approach to Change)",[28606],2003,Ballpoint pen on book page,"9 x 6"" (22.9 x 15.2 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,1536.2005,Drawing,Drawings & Prints,2005-05-10,Y,http://www.moma.org/collection/works/95790,,,,22.86,,,15.24,,
53332,"15 West 47th Street, New York",[1398],1963,Gelatin silver print,"9 1/2 × 6 5/16"" (24.2 × 16.1 cm)",Gift of the artist,435.1966,Photograph,Photography,1966-10-11,Y,http://www.moma.org/collection/works/53332,,,,24.2,,,16.1,,
